feature,importance
lag_0,2366.4
lag_1,1962.0
lag_10,1782.2
lag_9,1660.6
lag_8,1646.2
lag_3,1624.2
lag_2,1559.0
lag_4,1473.6
lag_6,1434.8
lag_12,1422.0
lag_7,1389.2
lag_11,1373.6
lag_5,1306.2
